timestamp,event type,instance_id,machine_id,n_cpu,normalized_mem,normalized_disk_space,cpu_id
0,Create,8991,684,4,0.042409339,0.034085122,40|41|42|43
0,Create,8992,1305,8,0.084818678,0.085212805,16|17|18|19|20|21|22|23
0,Create,8993,707,4,0.042409339,0.034085122,36|37|38|39
0,Create,8994,1140,4,0.042409339,0.034085122,12|13|14|15
0,Create,899,559,8,0.084818678,0.056808536,16|17|18|19|20|21|22|23
0,Create,8995,724,4,0.042409339,0.034085122,20|21|22|23
0,Create,8996,671,4,0.042409339,0.034085122,44|45|46|47
0,Create,8997,656,8,0.169637357,0.056808536,8|9|10|11|12|13|14|15
0,Create,8998,673,4,0.042409339,0.034085122,40|41|42|43
0,Create,8999,331,4,0.042409339,0.034085122,60|61|62|63
0,Create,9000,631,8,0.169637357,0.056808536,16|17|18|19|20|21|22|23
0,Create,9001,1227,4,0.042409339,0.034085122,40|41|42|43
0,Create,9002,925,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,9003,373,4,0.042409339,0.034085122,0|1|2|3
0,Create,9004,164,4,0.042409339,0.034085122,44|45|46|47
0,Create,9005,560,4,0.042409339,0.034085122,8|9|10|11
0,Create,900,608,8,0.084818678,0.068170244,52|53|54|55|56|57|58|59
0,Create,9006,583,4,0.042409339,0.034085122,12|13|14|15
0,Create,9007,753,8,0.084818678,0.068170244,44|45|46|47|48|49|50|51
0,Create,9008,382,4,0.042409339,0.034085122,4|5|6|7
0,Create,9009,890,16,0.169637357,0.113617073,44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
0,Create,9010,1246,16,0.169637357,0.113617073,0|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15
0,Create,901,1108,4,0.042409339,0.034085122,28|29|30|31
0,Create,9011,903,8,0.084818678,0.045446829,8|9|10|11|12|13|14|15
0,Create,9012,661,8,0.169637357,0.056808536,0|1|2|3|4|5|6|7
0,Create,9014,365,8,0.084818678,0.056808536,20|21|22|23|24|25|26|27
0,Create,9015,402,8,0.084818678,0.056808536,32|33|34|35|36|37|38|39
0,Create,9016,85,4,0.042409339,0.034085122,12|13|14|15
0,Create,9017,1126,8,0.084818678,0.056808536,56|57|58|59|60|61|62|63
0,Create,9018,165,4,0.042409339,0.034085122,60|61|62|63
0,Create,9019,273,8,0.084818678,0.085212805,28|29|30|31|32|33|34|35
0,Create,9020,709,4,0.042409339,0.034085122,16|17|18|19
0,Create,9021,85,16,0.318070044,0.113617073,44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
0,Create,9023,573,8,0.169637357,0.056808536,28|29|30|31|32|33|34|35
0,Create,902,386,8,0.084818678,0.056808536,12|13|14|15|16|17|18|19
0,Create,9024,1181,4,0.042409339,0.034085122,24|25|26|27
0,Create,9025,304,16,0.169637357,0.113617073,44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
0,Create,9026,751,4,0.042409339,0.034085122,20|21|22|23
0,Create,9027,722,4,0.042409339,0.034085122,4|5|6|7
0,Create,9028,979,8,0.084818678,0.056808536,32|33|34|35|36|37|38|39
0,Create,9029,661,4,0.042409339,0.034085122,44|45|46|47
0,Create,9030,19,4,0.042409339,0.034085122,52|53|54|55
0,Create,9031,777,4,0.042409339,0.034085122,40|41|42|43
0,Create,9032,1247,8,0.084818678,0.056808536,36|37|38|39|40|41|42|43
0,Create,9033,1003,8,0.169637357,0.056808536,24|25|26|27|28|29|30|31
0,Create,9034,686,8,0.084818678,0.056808536,8|9|10|11|12|13|14|15
0,Create,9035,632,8,0.169637357,0.056808536,24|25|26|27|28|29|30|31
0,Create,903,616,8,0.084818678,0.085212805,20|21|22|23|24|25|26|27
0,Create,9036,871,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,9037,251,4,0.042409339,0.034085122,36|37|38|39
0,Create,9038,180,4,0.042409339,0.034085122,4|5|6|7
0,Create,9039,716,4,0.042409339,0.034085122,28|29|30|31
0,Create,9040,1062,16,0.318070044,0.113617073,40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55
0,Create,9041,37,4,0.042409339,0.034085122,48|49|50|51
0,Create,904,241,16,0.318070044,0.113617073,48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|63
0,Create,9042,717,4,0.042409339,0.034085122,12|13|14|15
0,Create,9043,793,8,0.084818678,0.085212805,28|29|30|31|32|33|34|35
0,Create,9044,971,8,0.169637357,0.056808536,16|17|18|19|20|21|22|23
0,Create,9045,1065,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,9046,194,8,0.169637357,0.056808536,36|37|38|39|40|41|42|43
0,Create,9047,619,4,0.042409339,0.034085122,56|57|58|59
0,Create,9048,590,4,0.042409339,0.034085122,44|45|46|47
0,Create,9049,1024,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,9050,197,8,0.084818678,0.056808536,20|21|22|23|24|25|26|27
0,Create,9051,942,4,0.042409339,0.034085122,4|5|6|7
0,Create,9052,1018,4,0.042409339,0.034085122,32|33|34|35
0,Create,9053,663,8,0.084818678,0.056808536,8|9|10|11|12|13|14|15
0,Create,9054,908,8,0.084818678,0.056808536,32|33|34|35|36|37|38|39
0,Create,905,589,8,0.169637357,0.056808536,8|9|10|11|12|13|14|15
0,Create,9055,945,4,0.042409339,0.034085122,40|41|42|43
0,Create,9056,273,4,0.042409339,0.034085122,48|49|50|51
0,Create,90,571,4,0.042409339,0.034085122,40|41|42|43
0,Create,9057,931,4,0.042409339,0.034085122,36|37|38|39
0,Create,9058,298,16,0.254456035,0.113617073,44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59
0,Create,9059,817,4,0.042409339,0.034085122,8|9|10|11
0,Create,9060,591,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,9061,613,8,0.084818678,0.085212805,20|21|22|23|24|25|26|27
0,Create,9062,1282,8,0.084818678,0.056808536,56|57|58|59|60|61|62|63
0,Create,9063,218,8,0.169637357,0.056808536,16|17|18|19|20|21|22|23
0,Create,9064,210,8,0.084818678,0.068170244,0|1|2|3|4|5|6|7
0,Create,9065,755,8,0.084818678,0.085212805,16|17|18|19|20|21|22|23
0,Create,9066,876,4,0.042409339,0.034085122,32|33|34|35
0,Create,9067,1308,4,0.042409339,0.034085122,52|53|54|55
0,Create,906,73,4,0.042409339,0.034085122,40|41|42|43
0,Create,9068,808,8,0.084818678,0.056808536,8|9|10|11|12|13|14|15
0,Create,9069,1065,4,0.042409339,0.034085122,52|53|54|55
0,Create,9070,98,4,0.042409339,0.034085122,40|41|42|43
0,Create,9071,1067,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,907,1250,4,0.042409339,0.034085122,56|57|58|59
0,Create,9073,1262,8,0.084818678,0.056808536,0|1|2|3|4|5|6|7
0,Create,9074,369,4,0.042409339,0.034085122,8|9|10|11
0,Create,9075,348,4,0.042409339,0.034085122,56|57|58|59
0,Create,9076,27,8,0.169637357,0.056808536,16|17|18|19|20|21|22|23
0,Create,9077,264,4,0.042409339,0.034085122,36|37|38|39
0,Create,9078,39,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,9079,389,8,0.084818678,0.056808536,12|13|14|15|16|17|18|19
0,Create,9080,1238,4,0.042409339,0.034085122,20|21|22|23
0,Create,9081,1275,4,0.042409339,0.034085122,32|33|34|35
0,Create,9082,24,4,0.042409339,0.034085122,40|41|42|43
0,Create,9083,293,8,0.084818678,0.085212805,0|1|2|3|4|5|6|7
0,Create,9084,408,4,0.042409339,0.034085122,56|57|58|59
0,Create,9085,370,4,0.042409339,0.034085122,8|9|10|11
0,Create,9086,1054,4,0.042409339,0.034085122,56|57|58|59
0,Create,9087,395,4,0.042409339,0.034085122,36|37|38|39
0,Create,908,787,4,0.042409339,0.034085122,44|45|46|47
0,Create,9089,923,4,0.042409339,0.034085122,40|41|42|43
0,Create,9090,88,8,0.084818678,0.085212805,16|17|18|19|20|21|22|23
0,Create,909,118,4,0.042409339,0.034085122,40|41|42|43
0,Create,9091,979,4,0.042409339,0.034085122,56|57|58|59
0,Create,9092,931,4,0.042409339,0.034085122,16|17|18|19
0,Create,9093,77,4,0.042409339,0.034085122,20|21|22|23
0,Create,9094,870,4,0.042409339,0.034085122,32|33|34|35
0,Create,9095,38,8,0.084818678,0.056808536,32|33|34|35|36|37|38|39
0,Create,9096,9,4,0.042409339,0.034085122,44|45|46|47
0,Create,9097,699,4,0.042409339,0.034085122,16|17|18|19
0,Create,9098,782,8,0.084818678,0.056808536,24|25|26|27|28|29|30|31
0,Create,9099,1144,4,0.042409339,0.034085122,40|41|42|43
0,Create,9100,156,4,0.042409339,0.034085122,8|9|10|11
0,Create,9101,592,8,0.084818678,0.056808536,16|17|18|19|20|21|22|23
0,Create,9102,569,8,0.169637357,0.056808536,44|45|46|47|48|49|50|51
0,Create,9103,787,8,0.084818678,0.085212805,8|9|10|11|60|61|62|63
0,Create,910,413,4,0.042409339,0.034085122,40|41|42|43
0,Create,9104,377,8,0.084818678,0.056808536,40|41|42|43|44|45|46|47
0,Create,9105,160,8,0.084818678,0.056808536,52|53|54|55|56|57|58|59
0,Create,9106,161,4,0.042409339,0.034085122,4|5|6|7
0,Create,9107,1099,4,0.042409339,0.034085122,52|53|54|55
0,Create,9108,355,8,0.169637357,0.056808536,40|41|42|43|48|49|50|51
0,Create,9109,219,8,0.084818678,0.068170244,0|1|2|3|4|5|6|7
0,Create,9110,731,4,0.042409339,0.034085122,52|53|54|55
0,Create,9111,816,4,0.042409339,0.034085122,24|25|26|27
0,Create,9112,1233,16,0.169637357,0.113617073,16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31
0,Create,9113,767,4,0.042409339,0.034085122,40|41|42|43
0,Create,9114,966,4,0.042409339,0.034085122,44|45|46|47
0,Create,9115,1091,4,0.042409339,0.034085122,36|37|38|39
0,Create,9116,201,4,0.042409339,0.034085122,40|41|42|43
0,Create,9117,217,8,0.084818678,0.068170244,0|1|2|3|4|5|6|7
0,Create,911,80,4,0.042409339,0.034085122,16|17|18|19
